"","Y_input1","Y_input2","Y_input3","Y_input4","Y_IP1","Y_IP2","Y_IP3","Y_IP4"
"mmu-let-7d-3p",16969,5758,6433,4858,2007,3038,3539,2348
"mmu-let-7d-5p",850779,417715,631035,514480,546,5728,7444,13299
"mmu-let-7e-3p",1585,367,746,688,0,2,0,3
"mmu-let-7e-5p",81234,55892,67236,42649,282,6377,5688,7525
"mmu-let-7f-1-3p",30,27,34,36,0,0,0,0
"mmu-let-7f-5p",1910359,788242,903158,736482,393,7689,7822,7974
"mmu-let-7g-3p",98,6,16,32,0,0,0,0
"mmu-let-7g-5p",947814,317321,464942,495734,73,646,932,1551
"mmu-let-7i-3p",426,162,388,320,0,0,0,0
"mmu-let-7i-5p",2323146,1497580,1284452,985198,472,7272,7647,6242
"mmu-let-7j",804,419,2433,163,0,0,15,2
"mmu-let-7k",17,10,15,5,0,0,1,1
"mmu-miR-100-3p",41,12,31,25,0,0,0,0
"mmu-miR-100-5p",533717,281032,293331,199696,1244,4913,8298,9022
"mmu-miR-101a-3p",37582,10904,12169,12939,7,2,1,4
"mmu-miR-101a-5p",24,1,8,15,0,0,0,0
"mmu-miR-101b-3p",924,560,576,546,0,0,1,1
"mmu-miR-103-3p",163539,44969,76682,86509,82,209,286,1014
"mmu-miR-106b-3p",5917,3743,3303,1894,0,11,14,18
"mmu-miR-106b-5p",488,162,405,823,0,0,0,0
"mmu-miR-107-3p",15266,2338,10239,13643,2,1,6,36
"mmu-miR-10a-5p",3687,2029,974,1235,1,3,6,0
"mmu-miR-10b-5p",341,160,587,116,0,0,4,0
"mmu-miR-1188-5p",17,27,54,40,0,2,2,5
"mmu-miR-1191a",153,127,125,96,0,0,0,0
"mmu-miR-1193-3p",135,39,91,85,0,0,0,0
"mmu-miR-1197-3p",39,17,15,14,0,0,0,0
"mmu-miR-1198-3p",29,21,29,33,0,0,0,4
"mmu-miR-1198-5p",45200,19204,12225,6469,68,854,1189,503
"mmu-miR-122-5p",551,391,452,354,0,37,3,32
"mmu-miR-1224-3p",8,13,6,14,2,0,0,11
